,Gene symbol,theoritical_peptide,Sum_of_intensity,iBAQ
182,WP_000102225.1,78,4321865692.698608,55408534.521777034
183,WP_000102400.1,12,132956762342.7002,11079730195.225016
184,WP_000102691.1,19,816765213.5780001,42987642.81989474
185,WP_000103002.1,28,194264673.332,6938024.047571428
186,WP_000103068.1,32,1404204645.9344008,43881395.185450025
187,WP_000103483.1,29,312817736.629,10786818.504448276
188,WP_000106491.1,13,718022358.296,55232489.09969231
189,WP_000108058.1,18,7358842.908,408824.60599999997
190,WP_000110035.1,27,3707077876.872502,137299180.62490746
191,WP_000111455.1,11,6299283128.132599,572662102.557509
192,WP_000111480.1,29,6966274615.903827,240216366.0656492
193,WP_000111953.1,18,198803557.646,11044642.091444444
194,WP_000113840.1,15,63794267.31670001,4252951.154446667
195,WP_000114031.1,19,8418349.882,443071.0464210526
196,WP_000114482.1,7,49795513.725999996,7113644.817999999
197,WP_000114512.1,31,1519905444.3404193,49029207.88194901
198,WP_000115097.1,22,1533911111.6584,69723232.3481091
199,WP_000115243.1,25,2130288494.8786206,85211539.79514483
200,WP_000115710.1,10,2513443702.6523986,251344370.26523986
201,WP_000115765.1,14,863117194.1009998,61651228.15007142
202,WP_000116023.1,26,684081029.5268,26310808.82795385
203,WP_000116243.1,11,4004579076.120398,364052643.2836726
204,WP_000116258.1,45,7982249592.262794,177383324.27250654
205,WP_000116457.1,15,362476717.646,24165114.509733334
206,WP_000116541.1,14,107550752.56199999,7682196.611571428
207,WP_000117570.1,32,81220955017.99092,2538154844.3122163
208,WP_000118751.1,35,56814274.919,1623264.9976857144
209,WP_000119461.1,3,1434103545.4613996,478034515.15379983
210,WP_000120541.1,8,20092708.9034,2511588.612925
211,WP_000121286.1,17,8972389057.647593,527787591.62632895
212,WP_000121860.1,26,363147918.1056,13967227.619446155
213,WP_000123883.1,12,2147392307.8848,178949358.9904
214,WP_000124499.1,10,24146918.34,2414691.834
215,WP_000124812.1,9,2400518064.190199,266724229.35446656
216,WP_000124996.1,73,211164279.58200002,2892661.3641369864
217,WP_000125234.1,38,6968097175.328292,183370978.29811296
218,WP_000125527.1,16,16740240432.758404,1046265027.0474002
219,WP_000126723.1,5,8564129530.388362,1712825906.0776725
220,WP_000127192.1,30,5601112675.550197,186703755.85167322
221,WP_000127254.1,12,8656004589.180803,721333715.765067
222,WP_000130165.1,13,9247949122.01338,711380701.693337
223,WP_000130714.1,20,11387271.442,569363.5721
224,WP_000131883.1,6,529582162.8589998,88263693.8098333
225,WP_000132016.1,16,2692662848.863002,168291428.0539376
226,WP_000132506.1,17,611388584.1847801,35964034.3638106
227,WP_000133839.1,63,12301437.624,195260.91466666668
228,WP_000134482.1,21,367254974.98599994,17488332.142190475
229,WP_000135260.1,22,1961221999.9754004,89146454.54433638
230,WP_000135393.1,17,2574675886.528799,151451522.7369882
231,WP_000135448.1,20,28476298478.232716,1423814923.9116359
232,WP_000135500.1,10,149379360.576,14937936.0576
233,WP_000136057.1,18,659392429.9460001,36632912.774777785
234,WP_000136083.1,21,445269151.08180004,21203292.908657145
235,WP_000136475.1,47,8120751959.585107,172781956.58691716
236,WP_000140212.1,29,15779062649.934614,544105608.618435
237,WP_000141246.1,33,723596682.3639997,21927172.192848478
238,WP_000141537.1,98,2078512551.6308,21209311.751334693
239,WP_000141650.1,20,1393994382.4815998,69699719.12407999
240,WP_000141824.1,36,114630819.8162,3184189.439338889
241,WP_000141840.1,29,177894594.80599996,6134296.372620689
242,WP_000142586.1,32,49218410.766,1538075.3364375
243,WP_000142698.1,28,484177533.84199995,17292054.780071426
244,WP_000143821.1,37,217389186.17780003,5875383.4102108115
245,WP_000143898.1,28,147974408.04380003,5284800.287278572
246,WP_000144004.1,19,190594354.22769997,10031281.801457893
247,WP_000145205.1,38,130727307.338,3440192.298368421
248,WP_000145482.1,24,220873805.44319996,9203075.226799998
249,WP_000145885.1,11,65791561.120000005,5981051.010909092
250,WP_000146501.1,26,4638660309.474735,178410011.90287444
251,WP_000146552.1,13,136302025174.61285,10484771167.277912
252,WP_000147223.1,58,1002164207.1863003,17278693.227350004
253,WP_000148177.1,19,6843546.742,360186.67063157895
254,WP_000148686.1,16,4472595.368,279537.2105
255,WP_000149893.1,61,63101984931.02646,1034458769.3610895
256,WP_000150944.1,11,814447329.2800002,74040666.29818183
257,WP_000150993.1,12,2690095432.0356994,224174619.33630827
258,WP_000155196.1,20,1226357992.6590002,61317899.63295001
259,WP_000157329.1,10,4472195204.028401,447219520.40284014
260,WP_000157338.1,13,1372642924.7768002,105587917.29052308
261,WP_000157608.1,21,6501620685.647018,309600985.0308104
262,WP_000159365.1,11,1074242100.448,97658372.76799999
263,WP_000159892.1,13,538445915.3100001,41418916.5623077
264,WP_000161597.1,20,35962307238.86301,1798115361.9431503
265,WP_000162390.1,28,9967598.166,355985.64878571423
266,WP_000163348.1,5,55039760.91199999,11007952.1824
267,WP_000163651.1,21,404978578.7332,19284694.225390475
268,WP_000167513.1,25,47232523.08,1889300.9231999998
269,WP_000167663.1,24,4739663790.473002,197485991.26970842
270,WP_000168246.1,21,219733112.949,10463481.569
271,WP_000168949.1,4,952800374.9761002,238200093.74402505
272,WP_000169688.1,46,3118240270.076599,67787831.95818694
273,WP_000170133.1,13,19950350194.952343,1534642322.6886418
274,WP_000171192.1,12,8325369.704,693780.8086666666
275,WP_000172195.1,18,10271057843.958668,570614324.6643704
276,WP_000172202.1,36,1313792967.7331994,36494249.10369998
277,WP_000172726.1,28,574130408.6316001,20504657.451128576
278,WP_000174861.1,16,219963800.335,13747737.5209375
279,WP_000175921.1,17,39260017.614,2309412.8008235293
280,WP_000176746.1,16,261050317.83799997,16315644.864874998
281,WP_000179030.1,55,8479933706.950201,154180612.85364002
282,WP_000179609.1,39,24195335147.008514,620393208.8976542
283,WP_000179795.1,96,42291491.61799999,440536.37102083326
284,WP_000179852.1,16,3101378789.19804,193836174.3248775
285,WP_000180222.1,16,24255167406.79174,1515947962.9244838
286,WP_000180853.1,27,2458985236.530999,91073527.2789259
287,WP_000181059.1,42,2603775586.7896028,61994656.82832388
288,WP_000181227.1,14,797247598.9731996,56946257.06951426
289,WP_000181768.1,18,23357345074.602783,1297630281.9223769
290,WP_000182263.1,68,53028229655.06763,779826906.692171
291,WP_000183410.1,20,48234837.129,2411741.85645
292,WP_000184345.1,12,184769357.37279996,15397446.44773333
293,WP_000184524.1,16,102534586.4196,6408411.651225
294,WP_000185977.1,45,421540571.25699985,9367568.250155551
295,WP_000187969.1,9,1108021598.4879093,123113510.94310103
296,WP_000188047.1,19,621000564.49797,32684240.236735262
297,WP_000190880.1,29,4408737400.6973,152025427.61025172
298,WP_000194186.1,17,688773790.1420001,40516105.302470595
299,WP_000196651.1,22,7597297635.301196,345331710.6955089
300,WP_000196721.1,30,50697063994.18687,1689902133.1395621
301,WP_000199612.1,38,794756224.275,20914637.480921052
302,WP_000200272.1,27,4853681732.655574,179765990.09835458
303,WP_000200285.1,7,1819793187.0400004,259970455.29142863
304,WP_000200399.1,52,10890626.36,209435.1223076923
305,WP_000201440.1,18,35411434263.63939,1967301903.5355215
306,WP_000201605.1,4,5231859467.520643,1307964866.8801608
307,WP_000201659.1,28,167181317.32999998,5970761.333214285
308,WP_000202103.1,51,124279391.2213,2436850.8082607845
309,WP_000202680.1,45,6011764192.142202,133594759.82538228
310,WP_000202830.1,29,14829073618.663603,511347366.16081387
311,WP_000202873.1,38,239986114.59280002,6315424.06823158
312,WP_000203920.1,16,147408014.81100002,9213000.925687501
313,WP_000204200.1,33,2070603648.1800003,62745565.09636365
314,WP_000205143.1,35,9185641472.720798,262446899.22059426
315,WP_000212007.1,34,118305377.39399998,3479569.9233529405
316,WP_000212325.1,12,1161767902.9150994,96813991.90959162
317,WP_000212586.1,38,2440100806.2876,64213179.11283158
318,WP_000213814.1,23,1870609508.0357995,81330848.17546955
319,WP_000214763.1,33,957452621.0693,29013715.78997879
320,WP_000215708.1,11,878710115.4849997,79882737.7713636
321,WP_000218838.1,13,734751773.7321994,56519367.21016919
322,WP_000219100.1,20,30582469.948,1529123.4974
323,WP_000219378.1,19,259224453.76399997,13643392.30336842
324,WP_000224794.1,24,4325637.92,180234.91333333333
325,WP_000229482.1,48,356598730.5953999,7429140.220737498
326,WP_000230180.1,21,67656042.522,3221716.3105714284
327,WP_000230450.1,14,944298472.7300003,67449890.90928574
328,WP_000230454.1,30,11869634.09,395654.46966666664
329,WP_000231432.1,33,8941460.214,270953.3398181818
330,WP_000232107.1,48,450596.882,9387.435041666666
331,WP_000232823.1,8,1066271499.5190003,133283937.43987504
332,WP_000233562.1,10,6569981062.266797,656998106.2266797
333,WP_000234667.1,50,9602629751.487595,192052595.0297519
334,WP_000235141.1,30,1487285425.2768006,49576180.84256002
335,WP_000238902.1,37,12463387612.055435,336848313.8393361
336,WP_000239305.1,15,22419636179.584446,1494642411.9722965
337,WP_000239366.1,22,48383176.88,2199235.312727273
338,WP_000240010.1,11,452695585.22479993,41154144.11134545
339,WP_000242794.1,19,77784358.231,4093913.5911052637
340,WP_000243426.1,22,2051698983.0749998,93259044.68522726
341,WP_000244073.1,16,323101903.5519999,20193868.971999995
342,WP_000246073.1,11,665848243.3104,60531658.48276364
343,WP_000249515.1,19,10346971.944,544577.4707368421
344,WP_000249634.1,45,248855508.17999998,5530122.403999999
345,WP_000249791.1,11,199201841.032,18109258.275636364
346,WP_000250738.1,15,823881449.6377997,54925429.97585332
347,WP_000251310.1,224,1218534455.8157997,5439885.963463391
348,WP_000252094.1,5,3681919.1014,736383.82028
349,WP_000257883.1,12,905926173.8528004,75493847.82106669
350,WP_000262613.1,74,18037403660.512806,243748698.11503792
351,WP_000263748.1,40,247448756.1856,6186218.90464
352,WP_000264281.1,17,101576965.71361999,5975115.63021294
353,WP_000264550.1,23,16202075.16,704438.0504347826
354,WP_000266284.1,8,1002795191.4176,125349398.9272
355,WP_000266735.1,22,424195902.9011999,19281631.95005454
356,WP_000267213.1,14,83390201.222,5956442.9444285715
357,WP_000267308.1,15,2507464.718,167164.31453333332
358,WP_000269773.1,29,104283610.63599998,3595986.573655172
359,WP_000270913.1,16,1266393175.1313999,79149573.44571249
360,WP_000271588.1,16,1416953164.3288004,88559572.77055003
361,WP_000273657.1,47,442644714.92780006,9417972.6580383
362,WP_000274050.1,23,130083277.15599999,5655794.658956521
363,WP_000274334.1,93,17791625636.225895,191307802.54006338
364,WP_000275007.1,12,2239077172.243999,186589764.35366657
365,WP_000275600.1,12,767712593.4840002,63976049.45700002
366,WP_000276952.1,10,2389071736.23,238907173.623
367,WP_000277167.1,6,864998954.2855996,144166492.38093325
368,WP_000277382.1,40,285114302.52419996,7127857.563104999
369,WP_000277632.1,49,6193193829.681779,126391710.80983222
370,WP_000277765.1,8,912213052.7542201,114026631.59427752
371,WP_000278251.1,8,844967420.0519998,105620927.50649998
372,WP_000278813.1,13,76284206.242,5868015.864769231
373,WP_000279228.1,42,23553165517.551495,560789655.1797975
374,WP_000279894.1,13,2319815988.8398004,178447383.75690773
375,WP_000279904.1,15,23795913508.873928,1586394233.9249284
376,WP_000280002.1,29,12712236.99,438352.9996551724
377,WP_000281020.1,115,1009542001.7499995,8778626.10217391
378,WP_000281042.1,10,94107146.08600001,9410714.608600002
379,WP_000281386.1,41,6703638251.9034,163503371.99764392
380,WP_000282348.1,25,425737231.53000015,17029489.261200007
381,WP_000282526.1,14,3032308753.281102,216593482.37722158
382,WP_000283287.1,18,7073448.87,392969.38166666665
383,WP_000283525.1,11,44183033.59000001,4016639.4172727284
384,WP_000284396.1,8,881176155.3413001,110147019.41766252
385,WP_000284411.1,23,2072445.476,90106.32504347827
386,WP_000284477.1,66,16279526540.854193,246659493.04324535
387,WP_000285623.1,12,24698097.065800004,2058174.7554833337
388,WP_000287368.1,21,4047453482.0382004,192735880.09705716
389,WP_000290471.1,6,27599400.73,4599900.121666667
390,WP_000291460.1,33,240808498.22040004,7297227.218800001
391,WP_000291493.1,51,435657237.30339986,8542298.7706549
392,WP_000291591.1,29,6005503449.349201,207086325.83962762
393,WP_000331210.1,22,1505148853.5627003,68415856.98012275
394,WP_000332230.1,6,18136725.486,3022787.5810000002
395,WP_000332925.1,33,34477137.698,1044761.7484242424
396,WP_000333392.1,24,12215744.856,508989.369
397,WP_000333575.1,60,1135705069.6046004,18928417.826743342
398,WP_000334327.1,44,3798541515.2372017,86330488.98266368
399,WP_000337318.1,25,205579191.004,8223167.64016
400,WP_000339879.1,75,13811862260.085001,184158163.46780002
401,WP_000339988.1,47,7087984520.857597,150808181.2948425
402,WP_000340715.1,15,8546431.908,569762.1272
403,WP_000342713.1,23,4506934266.189002,195953663.74734792
404,WP_000343398.1,14,191580348.636,13684310.616857143
405,WP_000344487.1,23,4423388270.538198,192321229.15383473
406,WP_000345313.1,34,22670666.240000002,666784.3011764707
407,WP_000345920.1,8,52139844.91,6517480.61375
408,WP_000346036.1,23,11413351993.342674,496232695.36272496
409,WP_000346055.1,57,235906753.80500004,4138714.9790350883
410,WP_000347200.1,21,16729692.379999999,796652.018095238
411,WP_000347906.1,42,115438217.43600002,2748528.986571429
412,WP_000348045.1,34,921470756.8105395,27102081.082662925
413,WP_000348685.1,5,133799956.30000001,26759991.26
414,WP_000348938.1,40,1858890047.9964004,46472251.19991001
415,WP_000351423.1,25,654876996.9257997,26195079.87703199
416,WP_000351651.1,29,105018320.95539999,3621321.412255172
417,WP_000351733.1,14,4692190570.385003,335156469.3132145
418,WP_000351752.1,25,6574954117.806404,262998164.71225616
419,WP_000354445.1,39,1407310938.8237994,36084895.86727691
420,WP_000355766.1,30,35145080362.94496,1171502678.764832
421,WP_000356374.1,12,259125129.4033999,21593760.78361666
422,WP_000356651.1,63,1978416257.0823996,31403432.65210158
423,WP_000357129.1,28,158145185.17800003,5648042.327785715
424,WP_000358325.1,38,6564751054.537399,172756606.6983526
425,WP_000358377.1,32,798386133.9782001,24949566.686818752
426,WP_000359684.1,23,19492794.688,847512.8125217392
427,WP_000360484.1,25,21588216.881,863528.67524
428,WP_000360599.1,13,1457006583.7968996,112077429.52283843
429,WP_000360826.1,16,580888198.15,36305512.384375
430,WP_000361891.1,30,404347125.8958001,13478237.529860003
431,WP_000362658.1,25,280345157.0301999,11213806.281207995
432,WP_000362811.1,21,10019158.7204,477102.7962095238
433,WP_000364422.1,14,5696468424.008762,406890601.7149116
434,WP_000364507.1,12,250930019.16999996,20910834.93083333
435,WP_000365024.1,53,4261276550.071998,80401444.3409811
436,WP_000365065.1,33,7675508911.813014,232591179.1458489
437,WP_000365439.1,21,578917917.4234002,27567519.87730477
438,WP_000365849.1,8,2421696436.1252003,302712054.51565003
439,WP_000365890.1,31,11267713770.583454,363474637.7607566
440,WP_000366219.1,28,150530189.5361,5376078.197717858
441,WP_000366324.1,11,141973542.69,12906685.69909091
442,WP_000366622.1,13,5040051543.506302,387696272.57740784
443,WP_000367388.1,34,601360926.4352,17687086.07162353
444,WP_000367409.1,16,1644205525.2763002,102762845.32976876
445,WP_000367570.1,12,4964973.843,413747.82025000005
446,WP_000368308.1,15,135894937.0244,9059662.468293333
447,WP_000369357.1,17,348975428.93799996,20527966.408117644
448,WP_000371240.1,24,3128317021.250897,130346542.5521207
449,WP_000371278.1,20,402017757.02040005,20100887.85102
450,WP_000371344.1,13,51714778.39199999,3978059.8763076914
451,WP_000371377.1,12,240599385.02039996,20049948.751699995
452,WP_000371581.1,30,12116429.306,403880.97686666664
453,WP_000371641.1,24,225858221.97600007,9410759.249000004
454,WP_000371768.1,32,5638222.502,176194.4531875
455,WP_000372281.1,50,3966245080.1930003,79324901.60386
456,WP_000372296.1,71,15171339326.217287,213680835.58052516
457,WP_000372769.1,20,150043357.276,7502167.8637999995
458,WP_000372824.1,18,219854138.49999994,12214118.805555552
459,WP_000374062.1,24,157726764.136,6571948.505666667
460,WP_000374065.1,30,9047007911.714596,301566930.39048654
461,WP_000377010.1,17,121878436.928,7169319.819294117
462,WP_000377029.1,21,10697418143.253798,509400863.9644666
463,WP_000377275.1,17,2208515774.7337403,129912692.63139649
464,WP_000377460.1,18,210405207.48600003,11689178.193666669
465,WP_000377539.1,38,1196548258.7917998,31488112.073468417
466,WP_000377734.1,44,2199128460.6814,49980192.28821363
467,WP_000378420.1,65,1659246887.7259989,25526875.1957846
468,WP_000378482.1,25,2061813629.7459993,82472545.18983997
469,WP_000379289.1,16,834891309.2986,52180706.8311625
470,WP_000379429.1,4,61585770.098000005,15396442.524500001
471,WP_000381195.1,13,38596324.33,2968948.025384615
472,WP_000384982.1,39,87055709.25959997,2232197.673323076
473,WP_000387530.1,13,649859078.764,49989159.90492308
474,WP_000388230.1,12,592004788.1944001,49333732.34953334
475,WP_000389124.1,27,61440400.113000005,2275570.3745555556
476,WP_000389571.1,40,941697856.9127995,23542446.422819987
477,WP_000389641.1,58,43434514022.60839,748870931.4242826
478,WP_000389996.1,11,13486822098.793476,1226074736.2539523
479,WP_000390190.1,42,720943915.2014002,17165331.31431905
480,WP_000390225.1,38,1024789668.039,26968149.15892105
481,WP_000390240.1,14,1862441930.3096,133031566.45068572
482,WP_000390247.1,21,297732948.5810001,14177759.4562381
483,WP_000390637.1,20,31610057924.390125,1580502896.2195063
484,WP_000390685.1,17,673853608.5203999,39638447.560023524
485,WP_000391049.1,9,1958703778.122,217633753.12466666
